id,division,district,highest_dispo_charge,last_event_result,number,highest_charge,highest_charge_mod,complaint_year,next_pending_event,offense_date,sentencing,final_disposition,unit,event_of_final_dispo,drug,drug_patient,drug_res,full,incar,incar_county,incar_life,incar_prison,incar_local,prob,prob_formal,prob_sum,prog,prog_child,prog_dv,work,work_furl,work_pub,work_vol
11,Superior Court,Central,"VC23153(a), alcohol",Probation Modification Hearing - Granted,CD221190,VC23153(a),alcohol,2009.0,,2009-03-31 00:00:00.000000,State Prison: 5 Years: 8 Months - Local Custody: 285 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,2353,,,2068,285,1825,1825,,,,,,,,
12,Superior Court,Central,VC20001(a),Probation Modification Hearing - Granted,CD221197,VC20001(a),,2009.0,,2009-05-14 00:00:00.000000,Local Custody: 120 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,120,,,,120,1095,1095,,,,,,,,
13,Superior Court,Central,VC20001(a),PC 1203.4 Motion Hearing - Granted,CD221244,VC20001(a),,2009.0,,2009-02-04 00:00:00.000000,Local Custody: 120 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,120,,,,120,1095,1095,,,,,,,,
14,Superior Court,Central,VC20001(a),Evidentiary Hearing (Probation) - Admits - Revoked- Reinstated,CD221419,VC20001(a),,2009.0,,2009-04-05 00:00:00.000000,Local Custody: 201 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Felony Jury Trial,,,,,201,,,,201,1095,1095,,,,,,,,
15,Superior Court,Central,"VC23153(a), alcohol",Felony Other Motion Hearing - Granted,CD221433,VC23153(a),alcohol,2009.0,,2009-02-20 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,365,,,,365,1825,1825,,,,,,,,
16,Superior Court,Central,VC2800.2(a),Sentencing Hearing  - State Prison,CD221820,VC2800.2(a),,2009.0,,2009-07-12 00:00:00.000000,State Prison: 4 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,1460,,,1460,,,,,,,,,,,
17,Superior Court,Central,"VC23153(a), drugs",Sentencing Hearing  - State Prison,CD221841,VC23153(a),drugs,2009.0,,2009-07-13 00:00:00.000000,State Prison: 6 Years: 8 Months,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,2433,,,2433,,,,,,,,,,,
18,Superior Court,Central,VC23152(a),Probation Modification Hearing - Granted,CD221850,VC23153(a),alcohol,2009.0,,2009-06-13 00:00:00.000000,Probation Summary: 5 Years,Pled Guilty Felony,Superior Court,Preliminary Exam,,,,,,,,,,1825,,1825,,,,,,,
19,Superior Court,Central,"VC23153(a), drugs",Sentencing after Revocation - Probation Reinstated,CD221863,VC20001(a),,2009.0,,2009-07-14 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,365,,,,365,1825,1825,,,,,,,,
20,Superior Court,Central,"PC245(a)(1), deadly w",Sentencing Hearing  - State Prison,CD222101,PC245(a)(1),deadly w,2009.0,,2009-07-18 00:00:00.000000,State Prison: 3 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,1095,,,1095,,,,,,,,,,,
21,Superior Court,Central,VC20001(a),Sentencing Hearing  - State Prison,CD222167,VC20001(a),,2009.0,,2009-08-03 00:00:00.000000,State Prison: 16 Months,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,486,,,486,,,,,,,,,,,
22,Superior Court,Central,"PC245(a)(1), deadly w",Further Proceedings - Action Taken,CD222507,PC245(a)(1),deadly w,2009.0,,2009-08-15 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Felony Jury Trial,,,,,365,,,,365,1095,1095,,,,,,,,
23,Superior Court,Central,,Affidavit Filed - Warrant Issued,CD222544,VC20001(b)(2),,2009.0,,2009-08-25 00:00:00.000000,,,Superior Court,,,,,,,,,,,,,,,,,,,,
24,Superior Court,Central,VC20001(a),SB618 - Not Offered / Control Group,CD222891,VC20001(a),,2009.0,,2008-11-25 00:00:00.000000,Local Custody: 8 Months,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,243,,,,243,,,,,,,,,,
25,Superior Court,Central,VC20001(a),PC 1203.4 Motion Hearing - Granted,CD222901,VC20001(a),,2009.0,,2009-08-13 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,180,,,,180,1095,1095,,,,,,,,
26,Superior Court,Central,"VC23153(a), alcohol",Evidentiary Hearing (Probation) - Admits - Revoked- Reinstated,CD223074,VC23153(a),alcohol,2009.0,,2009-09-26 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,180,,,,180,1095,1095,,,,,,,,
27,Superior Court,Central,VC20001(a),Sentencing after Revocation - State Prison,CD223173,VC20001(a),,2009.0,,2009-10-03 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,365,,,,365,1825,1825,,,,,,,,
28,Superior Court,Central,"VC23153(a), alcohol",Sentencing after Revocation - State Prison,CD223338,VC23153(a),alcohol,2009.0,,2009-10-13 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Preliminary Exam,,,,,365,,,,365,1825,1825,,,,,,,,
29,Superior Court,Central,VC2800.2(a),Sentencing Hearing  - State Prison,CD223420,VC2800.2(a),,2009.0,,2009-10-16 00:00:00.000000,State Prison: 2 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,730,,,730,,,,,,,,,,,
30,Superior Court,Central,PC191.5(a),Sentencing Hearing  - State Prison,CD223425,PC187(a),,2009.0,,2009-10-17 00:00:00.000000,State Prison: 15 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,5475,,,5475,,,,,,,,,,,
31,Superior Court,Central,VC20001(a),Probation Modification Hearing - Denied,CD223450,VC20001(a),,2009.0,,2009-02-15 00:00:00.000000,Local Custody: 270 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,270,,,,270,1095,1095,,,,,,,,
32,Superior Court,Central,VC23152(a),Sentencing Hearing  - Probation Denied,CD224314,VC23153(a),alcohol,2009.0,,2009-11-14 00:00:00.000000,Local Custody: 365 Days,Pled Guilty Felony,Superior Court,Preliminary Exam,,,,,365,,,,365,,,,,,,,,,
33,Superior Court,Central,"PC245(a)(1), deadly w",Probation Modification Hearing - Granted,CD224440,PC245(a)(1),deadly w,2009.0,,2009-12-04 00:00:00.000000,Local Custody: 270 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam,,,,,270,,,,270,1095,1095,,,,,,,,
34,Superior Court,Central,PC191.5(a),Sentencing Hearing  - State Prison,CD224444,PC191.5(a),,2009.0,,2008-12-28 00:00:00.000000,State Prison: 4 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,1460,,,1460,,,,,,,,,,,
35,Family Protection,Central,PC273a(a),Probation Modification Hearing - Other (see note),CD224708,PC273a(a),,2009.0,,2009-12-26 00:00:00.000000,Probation Formal: 5 Years - Child Abuse Program: 1 Years,Pled Guilty Felony,Family Protection - Child Abuse,Preliminary Exam Readiness,,,,,,,,,,1825,1825,,365,365,,,,,
36,Superior Court,Central,"VC23153(a), alcohol","Further Proceedings - FTA, Bench Warrant",CD225243,VC23153(a),alcohol,2010.0,,2009-07-17 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 5 Years - Public Work Service: 30 Days,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,180,,,,180,1825,1825,,,,,30.0,,30.0,
37,Superior Court,Central,"VC23153(a), alcohol",Sentencing after Revocation - Continued,CD225341,VC23153(a),alcohol,2010.0,Sentencing after Revocation,2010-01-29 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,365,,,,365,1825,1825,,,,,,,,
38,Superior Court,Central,PC191.5(a),Sentencing Hearing  - State Prison,CD225830,PC191.5(a),,2010.0,,2010-02-19 00:00:00.000000,State Prison: 11 Years,Pled Guilty Felony,Superior Court,Preliminary Exam,,,,,4015,,,4015,,,,,,,,,,,
39,Superior Court,Central,VC20001(a),Restitution Hearing  - Restitution Set,CD225837,VC20001(a),,2010.0,,2009-12-10 00:00:00.000000,State Prison: 4 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,1460,,,1460,,,,,,,,,,,
40,Superior Court,Central,PC245(c),Restitution Hearing  - Restitution Set,CD226079,PC245(a)(1),deadly w,2010.0,,2010-03-09 00:00:00.000000,State Prison: 6 Years: 8 Months,Pled Guilty Felony,Superior Court,Further Proceedings,,,,,2433,,,2433,,,,,,,,,,,
41,Superior Court,Central,"VC23153(a), alcohol",Restitution Status Review Hearing - Restitution Set,CD226331,VC23153(a),alcohol,2010.0,,2009-07-11 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,180,,,,180,1825,1825,,,,,,,,
42,Superior Court,Central,,Affidavit Filed - Warrant Issued,CD226403,VC20001(b)(2),,2010.0,,2009-11-08 00:00:00.000000,,,Superior Court,,,,,,,,,,,,,,,,,,,,
43,Superior Court,Central,"VC23153(a), drugs",Further Proceedings - Action Taken,CD226608,VC23153(a),drugs,2010.0,,2010-01-03 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,365,,,,365,1825,1825,,,,,,,,
44,Superior Court,Central,VC23153(b),Probation Modification Hearing - Granted,CD226791,VC23153(a),alcohol,2010.0,,2010-01-30 00:00:00.000000,Local Custody: 5 Days - Probation Summary: 5 Years - Volunteer Work Service: 500 Hours,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,5,,,,5,1825,,1825,,,,20.833333333333332,,,20.833333333333332
45,Superior Court,Central,"PC245(a)(1), deadly w",Sentencing after Revocation - State Prison,CD226898,PC245(a)(1),force,2010.0,,2010-01-14 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam,,,,,365,,,,365,1095,1095,,,,,,,,
46,Superior Court,Central,VC20001(a),Probation Modification Hearing - Granted,CD227207,VC20001(a),,2010.0,,2010-03-26 00:00:00.000000,Local Custody: 8 Days - Probation Formal: 3 Years - Public Work Service: 15 Days,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,8,,,,8,1095,1095,,,,,15.0,,15.0,
47,Superior Court,Central,VC20001(a),Further Proceedings - Action Taken,CD227293,VC20001(a),,2010.0,,2010-04-23 00:00:00.000000,Local Custody: 1 Days - Probation Summary: 3 Years - Volunteer Work Service: 400 Hours,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,1,,,,1,1095,,1095,,,,16.666666666666668,,,16.666666666666668
48,Superior Court,Central,"PC245(a)(1), deadly w",Sentencing Hearing  - State Prison,CD227322,VC20001(a),,2010.0,,2010-05-14 00:00:00.000000,State Prison: 2 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,730,,,730,,,,,,,,,,,
49,Superior Court,Central,VC2800.3(a),Sentencing Hearing  - Probation Granted Formal,CD227559,VC2800.3(a),,2010.0,,2010-05-23 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,180,,,,180,1095,1095,,,,,,,,
50,Superior Court,Central,PC69,Further Proceedings - Action Taken,CD227945,PC69,,2010.0,,2010-06-13 00:00:00.000000,Local Custody: 180 Days - Probation Summary: 5 Years,Pled Guilty Misdemeanor,Pre-Trial,Preliminary Exam Readiness,,,,,180,,,,180,1825,,1825,,,,,,,
51,Superior Court,Central,PC148(a),Further Proceedings - Action Taken,CD228174,VC20001(a),,2010.0,,2009-07-04 00:00:00.000000,Probation Summary: 3 Years - Public Work Service: 5 Days,Pled Guilty Misdemeanor,Pre-Trial,Preliminary Exam,,,,,,,,,,1095,,1095,,,,5.0,,5.0,
52,Superior Court,Central,VC20001(a),Proof of Compliance Hearing - In Compliance,CD228291,VC20001(b)(2),,2010.0,,2010-02-14 00:00:00.000000,Probation Summary: 3 Years - Volunteer Work Service: 40 Hours,Pled Guilty Misdemeanor - Immediate Sentencing,Superior Court,Preliminary Exam Readiness,,,,,,,,,,1095,,1095,,,,1.6666666666666667,,,1.6666666666666667
53,Superior Court,Central,"VC23153(a), drugs",Sentencing Hearing  - State Prison,CD228399,VC23153(a),drugs,2010.0,,2010-07-10 00:00:00.000000,State Prison: 2 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,730,,,730,,,,,,,,,,,
54,Superior Court,Central,VC20001(b)(2),Probation Modification Hearing - Granted,CD228451,VC20001(b)(2),,2010.0,,2010-07-09 00:00:00.000000,Probation Summary: 3 Years,Pled Guilty Misdemeanor,Superior Court,Felony Jury Trial,,,,,,,,,,1095,,1095,,,,,,,
55,Superior Court,Central,"VC23153(a), combine",Sentencing Hearing  - Probation Granted Formal,CD228606,VC23153(a),combine,2010.0,,2010-07-17 00:00:00.000000,State Prison: 5 Years - Local Custody: 365 Days,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,2190,,,1825,365,,,,,,,,,,
56,Superior Court,Central,VC10851(a),Further Proceedings - Action Taken,CD229132,VC10851(a),,2010.0,,2010-08-07 00:00:00.000000,State Prison: 2 Years - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,730,,,730,,1095,1095,,,,,,,,
57,Superior Court,Central,"VC23153(a), drugs",Felony Appeal by the Defense - Remittitur Issued (see note),CD229232,VC23153(a),drugs,2010.0,,2010-08-15 00:00:00.000000,State Prison: 16 Years: 8 Months,"Found Guilty, Felony",Superior Court,Felony Jury Trial,,,,,6083,,,6083,,,,,,,,,,,
58,Superior Court,Central,VC20001(a),Further Proceedings - Action Taken,CD229500,VC20001(a),,2010.0,,2010-08-26 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam,,,,,365,,,,365,1095,1095,,,,,,,,
59,Superior Court,Central,"VC23153(a), alcohol",Felony Other Motion Hearing - Granted,CD229805,VC23153(a),alcohol,2010.0,,2010-08-12 00:00:00.000000,Local Custody: 360 Days - Probation Formal: 5 Years - Public Work Service: 25 Days,Pled Guilty Felony,Superior Court,Preliminary Exam,,,,,360,,,,360,1825,1825,,,,,25.0,,25.0,
60,Insurance Fraud,Central,VC10851(a),Further Proceedings - Action Taken,CD230155,VC10851(a),,2010.0,,2010-06-01 00:00:00.000000,State Prison: 4 Years: 4 Months,Pled Guilty Felony,URBAN Auto Fraud,Preliminary Exam Readiness,,,,,1582,,,1582,,,,,,,,,,,
61,Superior Court,Central,"VC23153(a), alcohol",Probation Modification Hearing - Granted,CD230167,VC23153(a),alcohol,2010.0,,2010-10-08 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years - Public Work Service: 15 Days,Pled Guilty Felony,Superior Court,Preliminary Exam,,,,,365,,,,365,1825,1825,,,,,15.0,,15.0,
62,Superior Court,Central,PC187(a),Felony Appeal by the Defense - Remittitur Issued (see note),CD230448,PC187(a),,2010.0,,2007-12-31 00:00:00.000000,Life +: 26 Years,"Found Guilty, Felony",Superior Court,Felony Jury Trial,,,,,9490,,9490,,,,,,,,,,,,
63,Superior Court,Central,VC20001(a),Further Proceedings - Action Taken,CD230566,VC20001(a),,2010.0,,2010-11-01 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years - Residential Drug Treatment: 9 Months,Pled Guilty Felony,Superior Court,Felony Readiness Conference,274,,274,,365,,,,365,1825,1825,,,,,,,,
64,Gang Prosecution,Central,VC20001(a),Sentencing Hearing  - State Prison,CD230688,PC245(a)(1),deadly w,2010.0,,2010-11-03 00:00:00.000000,State Prison: 2 Years,Pled Guilty Felony,Gang Prosecution,Preliminary Exam Readiness,,,,,730,,,730,,,,,,,,,,,
65,Superior Court,Central,VC20001(b)(2),Sentencing after Revocation - State Prison,CD231018,VC20001(b)(2),,2010.0,,2010-10-19 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,365,,,,365,1095,1095,,,,,,,,
66,Superior Court,Central,VC23152(a),Probation Modification Hearing - Granted,CD231317,VC23153(a),alcohol,2010.0,,2010-12-12 00:00:00.000000,State Prison: 2 Years: 8 Months - Probation Formal: 5 Years - Work Furlough: 300 Days,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,973,,,973,,1825,1825,,,,,300.0,300.0,,
67,Superior Court,Central,VC20001(a),Sentencing Hearing  - State Prison,CD231358,VC20001(a),,2010.0,,2010-12-20 00:00:00.000000,State Prison: 8 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,2920,,,2920,,,,,,,,,,,
68,Superior Court,Central,VC20002(a),Sentencing Hearing  - Probation Granted Summary,CD231709,VC20001(a),,2011.0,,2010-10-09 00:00:00.000000,Probation Summary: 5 Years,Pled Guilty Felony,Superior Court,Preliminary Exam,,,,,,,,,,1825,,1825,,,,,,,
69,Superior Court,Central,VC20001(a),Sentencing Hearing  - Probation Granted Formal,CD231978,VC20001(a),,2011.0,,2011-01-16 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,365,,,,365,1825,1825,,,,,,,,
70,Superior Court,Central,VC20001(b)(2),Sentencing Hearing  - Probation Granted Formal,CD231985,VC20001(b)(2),,2011.0,,2011-01-14 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,365,,,,365,1095,1095,,,,,,,,
71,Superior Court,Central,"VC23153(a), alcohol",Felony Other Motion Hearing - Denied,CD232165,VC23153(a),alcohol,2011.0,,2011-01-30 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,365,,,,365,1825,1825,,,,,,,,
72,Superior Court,Central,"PC245(a)(1), deadly w",Sentencing Hearing  - Probation Denied,CD232264,PC245(a)(1),deadly w,2011.0,,2010-12-08 00:00:00.000000,Local Custody - Fine,Pled Guilty Misdemeanor,Superior Court,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
73,Case Issuing/Extraditions,Central,,Affidavit Filed - Warrant Issued,CD232327,VC23153(a),drugs,2011.0,,2010-07-23 00:00:00.000000,,,Case Issuing/Extraditions,,,,,,,,,,,,,,,,,,,,
74,Superior Court,Central,VC20001(a),Sentencing Hearing  - State Prison,CD232531,VC20001(a),,2011.0,,2011-01-27 00:00:00.000000,State Prison: 16 Months,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,486,,,486,,,,,,,,,,,
75,Superior Court,Central,VC20001(a),Further Proceedings - Action Taken,CD232978,VC20001(a),,2011.0,,2010-12-14 00:00:00.000000,Local Custody: 180 Days - Probation Formal: 3 Years - Volunteer Work Service: 120 Hours,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,180,,,,180,1095,1095,,,,,5.0,,,5.0
76,Superior Court,Central,VC20001(b)(2),Further Proceedings - Action Taken,CD233073,VC20001(b)(2),,2011.0,,2011-03-13 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 3 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,365,,,,365,1095,1095,,,,,,,,
77,Superior Court,Central,VC20002(a),Sentencing Hearing  - Probation Granted Summary,CD233138,VC20001(a),,2011.0,,2011-03-20 00:00:00.000000,Probation Summary: 5 Years,Pled Guilty Misdemeanor,Pre-Trial,Preliminary Exam Readiness,,,,,,,,,,1825,,1825,,,,,,,
78,Superior Court,Central,"VC23153(a), alcohol",Further Proceedings - Action Taken,CD233310,VC23153(a),alcohol,2011.0,,2011-04-03 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Felony Readiness Conference,,,,,365,,,,365,1825,1825,,,,,,,,
79,Superior Court,Central,,Preliminary Exam Readiness - Dismissed Other (see note),CD233510,VC23153(a),alcohol,2011.0,,2011-02-22 00:00:00.000000,,Dismissed Other (see note),Superior Court,Preliminary Exam Readiness,,,,,,,,,,,,,,,,,,,
80,Superior Court,Central,VC23153(b),Misdemeanor Other Motion Hearing - Granted,CD233959,VC23153(a),alcohol,2011.0,,2011-04-29 00:00:00.000000,Probation Summary: 8 Years,Pled Guilty Felony,Superior Court,Preliminary Exam,,,,,,,,,,2920,,2920,,,,,,,
81,Superior Court,Central,VC23152(a),Felony Appeal by the Defense - Remittitur Issued (see note),CD234091,VC23153(a),alcohol,2011.0,,2011-05-08 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years - Public Work Service: 200 Hours,"Found Guilty, Felony",Superior Court,Felony Jury Trial,,,,,365,,,,365,1825,1825,,,,,8.333333333333334,,8.333333333333334,
82,Superior Court,Central,"VC23153(a), alcohol",Restitution Status Review Hearing - Restitution Set,CD234541,VC23153(a),alcohol,2011.0,,2011-05-29 00:00:00.000000,Local Custody: 365 Days - Probation Formal,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,365,,,,365,,,,,,,,,,
83,Superior Court,Central,VC23153(b),Further Proceedings - Action Taken,CD234619,VC23153(a),alcohol,2011.0,Proof of Enrollment Hearing,2011-06-03 00:00:00.000000,Local Custody: 68 Days - Probation Summary: 5 Years,Pled Guilty Misdemeanor - Immediate Sentencing,Superior Court,Felony Readiness Conference,,,,,68,,,,68,1825,,1825,,,,,,,
84,Superior Court,Central,"VC23153(a), drugs",Sentencing Hearing  - State Prison,CD234894,VC23153(a),drugs,2011.0,,2011-06-21 00:00:00.000000,State Prison: 16 Months - SB618,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,486,,,486,,,,,,,,,,,
85,Superior Court,Central,"VC23153(a), alcohol",Further Proceedings - Action Taken,CD235097,VC23153(a),alcohol,2011.0,,2011-02-17 00:00:00.000000,State Prison: 6 Years: 8 Months - Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,2798,,,2433,365,1825,1825,,,,,,,,
86,Superior Court,Central,VC23153(b),Probation Modification Hearing - Denied,CD235109,VC23153(a),alcohol,2011.0,,2011-06-29 00:00:00.000000,Local Custody: 90 Days - Probation Formal: 5 Years - Residential Drug Treatment: 90 Days,Pled Guilty Felony,Superior Court,Felony Readiness Conference,90,,90,,90,,,,90,1825,1825,,,,,,,,
87,Superior Court,Central,"VC23153(a), alcohol",Probation Modification Hearing - Denied,CD235176,VC23153(a),alcohol,2011.0,,2011-07-03 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years - Residential Drug Treatment: 6 Months (+ more),Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,182,,182,,365,,,,365,1825,1825,,,,,,,,
88,Superior Court,Central,VC20002(a),Sentencing Hearing  - Probation Denied,CD235672,VC20001(a),,2011.0,,2010-04-29 00:00:00.000000,Local Custody: 44 Days,Pled Guilty Misdemeanor,Pre-Trial,Preliminary Exam Readiness,,,,,44,,,,44,,,,,,,,,,
89,Superior Court,Central,"VC23153(a), alcohol",Probation Modification Hearing - Granted,CD235690,VC23153(a),alcohol,2011.0,,2011-05-15 00:00:00.000000,Local Custody: 365 Days - Probation Formal: 5 Years,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,365,,,,365,1825,1825,,,,,,,,
90,Superior Court,Central,VC23153(b),Sentencing Hearing  - State Prison,CD235755,VC23153(a),alcohol,2011.0,,2011-07-31 00:00:00.000000,State Prison: 4 Years: 4 Months,Pled Guilty Felony,Superior Court,Preliminary Exam Readiness,,,,,1582,,,1582,,,,,,,,,,,
